,ID,Text,Hate,HD,CV,VO,REL,RAE,SXO,GEN,IDL,NAT,POL,MPH,EX,IM
15572,17876,"The main thing that drew me to Gab was the higher character count. Most of my time on Twatter (or even on Gab prior to PRO) was spent editing down my long ass posts to a size that was within the limits of the character count while still cramming as much info and depth into it as possible. Which ultimately helped me develop my writing skills but was annoying nonetheless. Shit, I'd use up a 10...",0,0,0,0,,,,,,,,,,
15632,17954,"' #GetWokeGoBroke !' (via Jeremy aka 'The Quartering) is so true -- and also as we see here the opposite is also very true! What is a nice brief catchy version of 'Fuck PC nonsense and pandering virtual signalling, gain much respect and extra business in the marketplace' ?",0,0,0,1,,,,,,,,,,
15633,17954,"' #GetWokeGoBroke !' (via Jeremy aka 'The Quartering) is so true -- and also as we see here the opposite is also very true! What is a nice brief catchy version of 'Fuck PC nonsense and pandering virtual signalling, gain much respect and extra business in the marketplace' ?",0,0,0,0,,,,,,,,,,
15672,17980,I am so sick of this Hogg!,0,0,0,0,,,,,,,,,,
15673,17980,I am so sick of this Hogg!,0,0,0,1,,,,,,,,,,
16161,18632,"The Scots have done well by booting out Labour, The Welsh have done well by voting for #Brexit. The Northern Irish have done well by supporting Theresa May when that seemed like a good idea. #MUKGA is a shit hashtag but #MEGA is a great one... Lets use it to make sure #realDonaldTrump doesn't say anything to support Theresa May's capitulation to the EU.",0,0,0,1,,,,,,,,,,
16162,18632,"The Scots have done well by booting out Labour, The Welsh have done well by voting for #Brexit. The Northern Irish have done well by supporting Theresa May when that seemed like a good idea. #MUKGA is a shit hashtag but #MEGA is a great one... Lets use it to make sure #realDonaldTrump doesn't say anything to support Theresa May's capitulation to the EU.",0,0,0,0,,,,,,,,,,
16212,18665,"Not that anybody asked for it but, Fuck The Alt-Right Fuck ANTIFA Fuck all extremes  Pray for Freedom",0,0,0,1,,,,,,,,,,
16213,18665,"Not that anybody asked for it but, Fuck The Alt-Right Fuck ANTIFA Fuck all extremes  Pray for Freedom",0,0,0,0,,,,,,,,,,
16345,18820,What in the hell is that crap? I only made it through 1:22...,0,0,0,1,,,,,,,,,,
16346,18820,What in the hell is that crap? I only made it through 1:22...,0,0,0,0,,,,,,,,,,
16422,18871,"remember when bill burr was funny?  I gotta admit, I'm not sure I give a f**k  https://www.youtube.com/watch?v=xvMoF4lAwmw",0,0,0,1,,,,,,,,,,
16423,18871,"remember when bill burr was funny?  I gotta admit, I'm not sure I give a f**k  https://www.youtube.com/watch?v=xvMoF4lAwmw",0,0,0,0,,,,,,,,,,
16676,19108,"If you destroy American history or your own history is offensive to you - you're a weak, weak person.",0,0,0,1,,,,,,,,,,
16677,19108,"If you destroy American history or your own history is offensive to you - you're a weak, weak person.",0,0,0,0,,,,,,,,,,
16691,19113,Jeff Flake is going to get Flaked.,0,0,0,0,,,,,,,,,,
16693,19113,Jeff Flake is going to get Flaked.,0,0,0,1,,,,,,,,,,
16762,19171,"They fired the fat anti-Trump terrorist T.J. Miller, then started dropping red pills in the new season. Something happened there.",0,0,0,1,,,,,,,,,,
16763,19171,"They fired the fat anti-Trump terrorist T.J. Miller, then started dropping red pills in the new season. Something happened there.",0,0,0,0,,,,,,,,,,
17217,19728,I don’t know how I feel about Gab anymore so that’s why I haven’t been posting here as much. Is it really free speech or is it cucked now?,0,0,0,1,,,,,,,,,,
17218,19728,I don’t know how I feel about Gab anymore so that’s why I haven’t been posting here as much. Is it really free speech or is it cucked now?,0,0,0,0,,,,,,,,,,
17267,19753,#Catholic shit is getting real...  https://onepeterfive.com/former-papal-nuncio-pope-...,0,0,0,1,,,,,,,,,,
17268,19753,#Catholic shit is getting real...  https://onepeterfive.com/former-papal-nuncio-pope-...,0,0,0,0,,,,,,,,,,
17450,19919,Welcome to all the new Gabbers from Kenya! @KenyansOnGab  Ignore the stupid racists on here.,0,0,0,1,,,,,,,,,,
17451,19919,Welcome to all the new Gabbers from Kenya! @KenyansOnGab  Ignore the stupid racists on here.,0,0,0,0,,,,,,,,,,
17477,19948,God I fucking love this! 😂  https://youtu.be/gCH-9_bk8TI,0,0,0,1,,,,,,,,,,
17478,19948,God I fucking love this! 😂  https://youtu.be/gCH-9_bk8TI,0,0,0,0,,,,,,,,,,
17573,20010,The motherfucking Sargon.https://www.youtube.com/watch?v=fhelSuCKlMs,0,0,0,1,,,,,,,,,,
17574,20010,The motherfucking Sargon.https://www.youtube.com/watch?v=fhelSuCKlMs,0,0,0,0,,,,,,,,,,
17674,20110,"Fake. If you're tying to prove something as desperately as you seem to be doing, at least be real and don't edit the text.    Hell, it takes 2 seconds to inspect element. This is just plain pathetic shitty editing. You can tell they used some paint program and JPEG compression.",0,0,0,0,,,,,,,,,,
17675,20110,"Fake. If you're tying to prove something as desperately as you seem to be doing, at least be real and don't edit the text.    Hell, it takes 2 seconds to inspect element. This is just plain pathetic shitty editing. You can tell they used some paint program and JPEG compression.",0,0,0,1,,,,,,,,,,
17691,20115,The ultimate in 'Progressive Bullshit'... literally #Humor #Libtardation,0,0,0,1,,,,,,,,,,
17692,20115,The ultimate in 'Progressive Bullshit'... literally #Humor #Libtardation,0,0,0,0,,,,,,,,,,
17931,20338,'Michelle Wolf' by @Last https://gab.ai/tv/watch/13494 This Pig is Nasty,0,0,0,0,,,,,,,,,,
17932,20338,'Michelle Wolf' by @Last https://gab.ai/tv/watch/13494 This Pig is Nasty,0,0,0,1,,,,,,,,,,
18088,20895,"@Penllyn‍ @mjrodksu‍ @Sidephase‍ @RaviCrux‍ @DeadMessenger @John77 @FrLemmen‍ @Sidephase @rsmccain @sine_injuria  No  he called #ThomasMix a pedophile because of his aggressive support for statutory rapists Kaitlyn Hunt who has sex with a minor.  Not to mention, just how many people has the #VeroBeachCrybully falsely accused of being a pedophile?",0,0,0,1,,,,,,,,,,
18089,20895,"@Penllyn‍ @mjrodksu‍ @Sidephase‍ @RaviCrux‍ @DeadMessenger @John77 @FrLemmen‍ @Sidephase @rsmccain @sine_injuria  No  he called #ThomasMix a pedophile because of his aggressive support for statutory rapists Kaitlyn Hunt who has sex with a minor.  Not to mention, just how many people has the #VeroBeachCrybully falsely accused of being a pedophile?",0,0,0,0,,,,,,,,,,
18402,21364,"Gary Lineker is a TWAT and  Mark Zuckerberg is a CUNT.    Phew, quite liberating to get that off my chest, in an echo chamber.",0,0,0,1,,,,,,,,,,
18403,21364,"Gary Lineker is a TWAT and  Mark Zuckerberg is a CUNT.    Phew, quite liberating to get that off my chest, in an echo chamber.",0,0,0,0,,,,,,,,,,
18473,21455,'WOW I never thought about it but your lips could be my transition to black dick -- wait nevermind you seem like you'd stick around if we had a child'    real quote from my girlfriend that would get me banned on facebook and twitter    thanks gab for letting me bring you this spicy chisme,0,0,0,1,,,,,,,,,,
18474,21455,'WOW I never thought about it but your lips could be my transition to black dick -- wait nevermind you seem like you'd stick around if we had a child'    real quote from my girlfriend that would get me banned on facebook and twitter    thanks gab for letting me bring you this spicy chisme,0,0,0,0,,,,,,,,,,
18657,21556,"WHY is this idiot my country's prime minister? What is wrong with Canadians, that they'd elect this manchild to represent us?   #Canada #Trudeau   http://www.breitbart.com/tech/2017/11/29/trudeau-c...",0,0,0,1,,,,,,,,,,
18659,21556,"WHY is this idiot my country's prime minister? What is wrong with Canadians, that they'd elect this manchild to represent us?   #Canada #Trudeau   http://www.breitbart.com/tech/2017/11/29/trudeau-c...",0,0,0,0,,,,,,,,,,
18666,21563,"Lol. @pnehlen has become a massive swedish homosex. Proud of you, nigga",0,0,0,1,,,,,,,,,,
18667,21563,"Lol. @pnehlen has become a massive swedish homosex. Proud of you, nigga",0,0,0,0,,,,,,,,,,
18759,21615,"That would be a mistake.   We have been in the shit with some of la Jaune, and have seen a very high degree of competence and professionalism.  This fellow is not of that type.",0,0,0,1,,,,,,,,,,
18760,21615,"That would be a mistake.   We have been in the shit with some of la Jaune, and have seen a very high degree of competence and professionalism.  This fellow is not of that type.",0,0,0,0,,,,,,,,,,
19157,22010,"How successful has President Trump been at igniting a civil war between democrat oligarchs? Word for word from the “memo” Crazy Comey wrote & the portion that somehow made it out for public viewing, Comey offering his opinion on former AG’s; “I said I thought AG Holder was smarter & more sophisticated & smoother than AG Lynch, who I added is a good person” Very.",0,0,0,0,,,,,,,,,,
19158,22010,"How successful has President Trump been at igniting a civil war between democrat oligarchs? Word for word from the “memo” Crazy Comey wrote & the portion that somehow made it out for public viewing, Comey offering his opinion on former AG’s; “I said I thought AG Holder was smarter & more sophisticated & smoother than AG Lynch, who I added is a good person” Very.",0,0,0,1,,,,,,,,,,
19220,22055,Gowdy did nothing to #Hillary for her private server    Yet he'll throw a shit fit over Jared doing far less    Fuck Gowdy and his soap box   http://www.breitbart.com/big-government/2017/09/25... #Gab #GabFam #MAGA #Trump #Kushner,0,0,0,1,,,,,,,,,,
19222,22055,Gowdy did nothing to #Hillary for her private server    Yet he'll throw a shit fit over Jared doing far less    Fuck Gowdy and his soap box   http://www.breitbart.com/big-government/2017/09/25... #Gab #GabFam #MAGA #Trump #Kushner,0,0,0,0,,,,,,,,,,
19229,22058,"Kanye West    The crying loudmouth man who is more ill behaved than a child    Is running for President    His cheap pornstar wife wants to be First Lady    Their gross daughter, who literally had to be photoshopped as a baby for being ugly, is still gross    Long live #Trump   #Gab #GabFam #MAGA #Trump2020",0,0,0,1,,,,,,,,,,
19231,22058,"Kanye West    The crying loudmouth man who is more ill behaved than a child    Is running for President    His cheap pornstar wife wants to be First Lady    Their gross daughter, who literally had to be photoshopped as a baby for being ugly, is still gross    Long live #Trump   #Gab #GabFam #MAGA #Trump2020",0,0,0,0,,,,,,,,,,
19287,22109,"The destruction of NC state property could have been prevented when Silent Sam was destroyed, had police chief Chris Blue not gave stand down orders. Broward isn't the only county with a coward. | #RedNationRising",0,0,0,1,,,,,,,,,,
19288,22109,"The destruction of NC state property could have been prevented when Silent Sam was destroyed, had police chief Chris Blue not gave stand down orders. Broward isn't the only county with a coward. | #RedNationRising",0,0,0,0,,,,,,,,,,
19412,22193,Hey ya'll Stephen Colbert was reminiscing about Obama's 55th birthday party at the White House and how fucking GREAT IT WAS! BEST PARTY EVER!,0,0,0,1,,,,,,,,,,
19413,22193,Hey ya'll Stephen Colbert was reminiscing about Obama's 55th birthday party at the White House and how fucking GREAT IT WAS! BEST PARTY EVER!,0,0,0,0,,,,,,,,,,
19766,22655,http://www.dailywire.com/news/24065/msnbc-contribu...    sam seder is a absolut idiot and a danger to his kid.   how can a dad say such an outlandish thing?   fuck sam and fuck the minority ....ähh i mean majority report,0,0,0,1,,,,,,,,,,
19767,22655,http://www.dailywire.com/news/24065/msnbc-contribu...    sam seder is a absolut idiot and a danger to his kid.   how can a dad say such an outlandish thing?   fuck sam and fuck the minority ....ähh i mean majority report,0,0,0,0,,,,,,,,,,
19772,22658,Brett Cavanagh wasn’t my first choice (Amy Barrett was my first choice) to be the nominee for the Supreme Court but he’s a hell lot better than Hillary would of put on the Supreme Court.,0,0,0,1,,,,,,,,,,
19773,22658,Brett Cavanagh wasn’t my first choice (Amy Barrett was my first choice) to be the nominee for the Supreme Court but he’s a hell lot better than Hillary would of put on the Supreme Court.,0,0,0,0,,,,,,,,,,
19905,22800,I find it unbelievable that McSally won over Kelli Ward. what the hell is wrong with AZ. they want another John McCain?,0,0,0,1,,,,,,,,,,
19906,22800,I find it unbelievable that McSally won over Kelli Ward. what the hell is wrong with AZ. they want another John McCain?,0,0,0,0,,,,,,,,,,
20055,22888,There should be one more choice...who gives a shit,0,0,0,1,,,,,,,,,,
20056,22888,There should be one more choice...who gives a shit,0,0,0,0,,,,,,,,,,
20061,22890,Crap! This changes everything,0,0,0,0,,,,,,,,,,
20063,22890,Crap! This changes everything,0,0,0,1,,,,,,,,,,
20092,22896,Isn't that the point? dumbass,0,0,0,0,,,,,,,,,,
20093,22896,Isn't that the point? dumbass,0,0,0,1,,,,,,,,,,
20330,23034,"damn they got alex jones, that's sus",0,0,0,1,,,,,,,,,,
20331,23034,"damn they got alex jones, that's sus",0,0,0,0,,,,,,,,,,
20489,23120,@BlueVino BTR put a new policy in meaning that you will have to delete a shitload of episodes. You have the maximum of 30 plan hours to record shows unless you buy a paid plan. PURE BULLSHIT. What the hell is wrong with BTR these days? Fucking assholes.,0,0,0,1,,,,,,,,,,
20490,23120,@BlueVino BTR put a new policy in meaning that you will have to delete a shitload of episodes. You have the maximum of 30 plan hours to record shows unless you buy a paid plan. PURE BULLSHIT. What the hell is wrong with BTR these days? Fucking assholes.,0,0,0,0,,,,,,,,,,
20600,23236,What sounds like fingernails scraping down a chalkboard but is less funny? #MichelleWolf #WHCA,0,0,0,0,,,,,,,,,,
20601,23236,What sounds like fingernails scraping down a chalkboard but is less funny? #MichelleWolf #WHCA,0,0,0,1,,,,,,,,,,
20624,23245,#TwitterFucks This was my 3rd twitter account...,0,0,0,1,,,,,,,,,,
20625,23245,#TwitterFucks This was my 3rd twitter account...,0,0,0,0,,,,,,,,,,
20884,23633,"Ahhhh.  It's been eleventy meelyun years since I got to sit down, have a beer, and make an ass of myself on Gab. I missed this so hard.   :  )",0,0,0,1,,,,,,,,,,
20885,23633,"Ahhhh.  It's been eleventy meelyun years since I got to sit down, have a beer, and make an ass of myself on Gab. I missed this so hard.   :  )",0,0,0,0,,,,,,,,,,
20907,23639,"1)   TY for any notifications, I'm so sorry I can't respond politely at the moment 2) I'm leaving in less than 3 days to spend 2 months about 1 hour from my niece EEEEEEE 3) That's so many numbers, ew math 4) I do still love the #gabfam and I'm not gone, just, STUPID busy.  Should have peace and 'vacation' soon, to come derp at you all.  :  )  5) Never give up, never surrender!",0,0,0,0,,,,,,,,,,
20910,23639,"1)   TY for any notifications, I'm so sorry I can't respond politely at the moment 2) I'm leaving in less than 3 days to spend 2 months about 1 hour from my niece EEEEEEE 3) That's so many numbers, ew math 4) I do still love the #gabfam and I'm not gone, just, STUPID busy.  Should have peace and 'vacation' soon, to come derp at you all.  :  )  5) Never give up, never surrender!",0,0,0,1,,,,,,,,,,
21011,23678,What the Fuck happened to Hip-Hop? https://www.youtube.com/watch?v=QPRmFJ_U8Ug,0,0,0,1,,,,,,,,,,
21012,23678,What the Fuck happened to Hip-Hop? https://www.youtube.com/watch?v=QPRmFJ_U8Ug,0,0,0,0,,,,,,,,,,
21144,23947,Well look who caught a fucking clue! Only 6 months later. #QdenierJackProsobiec thinks he's clever.,0,0,0,1,,,,,,,,,,
21145,23947,Well look who caught a fucking clue! Only 6 months later. #QdenierJackProsobiec thinks he's clever.,0,0,0,0,,,,,,,,,,
21154,23950,Dumbass #JackProsobiec outs himself again as a self important ego shill trying to counter #Qanon. 'XBox and PS don't have chat logs'. -Jack Even on the surface for a non-gamer this is an idiotic statement.  https://twitter.com/intheMatrixxx/status/103013226...,0,0,0,1,,,,,,,,,,
21155,23950,Dumbass #JackProsobiec outs himself again as a self important ego shill trying to counter #Qanon. 'XBox and PS don't have chat logs'. -Jack Even on the surface for a non-gamer this is an idiotic statement.  https://twitter.com/intheMatrixxx/status/103013226...,0,0,0,0,,,,,,,,,,
21574,24460,Got a idiot on here called @lolicon who's proving my point! And apparently this shits on gab too! 😒,0,0,0,1,,,,,,,,,,
21575,24460,Got a idiot on here called @lolicon who's proving my point! And apparently this shits on gab too! 😒,0,0,0,0,,,,,,,,,,
21583,24463,There is a vile desturbing trend on the website 4chan called 'loli' usually on the /b/ board. This is outright child porn but the it's cartoon excuse is used IT'S NOT A FUCKING CARTOON IF THE CHARACTERS ARE DRAWN AS CHILDREN AND YOU CALL IT SOMETHING OTHER THAN NORMAL PORN THAN IT'S CLEARLY PEDOPHILIA!,0,0,0,1,,,,,,,,,,
21584,24463,There is a vile desturbing trend on the website 4chan called 'loli' usually on the /b/ board. This is outright child porn but the it's cartoon excuse is used IT'S NOT A FUCKING CARTOON IF THE CHARACTERS ARE DRAWN AS CHILDREN AND YOU CALL IT SOMETHING OTHER THAN NORMAL PORN THAN IT'S CLEARLY PEDOPHILIA!,0,0,0,0,,,,,,,,,,
21592,24466,https://www.ashemaletube.com/videos/398744/can-u-d... holy shit! 😲😍 #nsfw,0,0,0,1,,,,,,,,,,
21594,24466,https://www.ashemaletube.com/videos/398744/can-u-d... holy shit! 😲😍 #nsfw,0,0,0,0,,,,,,,,,,
21652,24502,#MetalEveryday Every Fucking Day!🤘😈🤘  https://youtu.be/NxviGrBMKKY,0,0,0,1,,,,,,,,,,
21653,24502,#MetalEveryday Every Fucking Day!🤘😈🤘  https://youtu.be/NxviGrBMKKY,0,0,0,0,,,,,,,,,,
21655,24503,#MetalEveryDay 🤘😈🤘 Every Fucking Day!! Always love the Ladies of Metal😈  https://youtu.be/uyByj5F9ZjQ,0,0,0,1,,,,,,,,,,
21656,24503,#MetalEveryDay 🤘😈🤘 Every Fucking Day!! Always love the Ladies of Metal😈  https://youtu.be/uyByj5F9ZjQ,0,0,0,0,,,,,,,,,,
21668,24507,Just dumped #Netflix Fuck Obama's propaganda outlet.,0,0,0,1,,,,,,,,,,
21670,24507,Just dumped #Netflix Fuck Obama's propaganda outlet.,0,0,0,0,,,,,,,,,,
21753,24594,"Maybe Donald Fagan was right.  'Show Biz Kids makin' movies of themselves, you know they don't give a Fuck about anybody else'  - Donald Fagan, Show Biz Kids. I expect this young man will be found the victim of suicide.  Here's a playlist you might find interesting: https://www.youtube.com/playlist?list=PL4pkda_vFjD...",0,0,0,1,,,,,,,,,,
21754,24594,"Maybe Donald Fagan was right.  'Show Biz Kids makin' movies of themselves, you know they don't give a Fuck about anybody else'  - Donald Fagan, Show Biz Kids. I expect this young man will be found the victim of suicide.  Here's a playlist you might find interesting: https://www.youtube.com/playlist?list=PL4pkda_vFjD...",0,0,0,0,,,,,,,,,,
21812,24617,"Hell now has another eternal POW Too soon? No, too late. Better late than never, tho",0,0,0,1,,,,,,,,,,
21813,24617,"Hell now has another eternal POW Too soon? No, too late. Better late than never, tho",0,0,0,0,,,,,,,,,,
21842,24646,Streaming more Brainlord and we're gonna finish this bitch! https://www.twitch.tv/lazy_brain_games,0,0,0,1,,,,,,,,,,
21843,24646,Streaming more Brainlord and we're gonna finish this bitch! https://www.twitch.tv/lazy_brain_games,0,0,0,0,,,,,,,,,,
21848,24648,Back on my bullshit streaming Brainlord https://www.twitch.tv/lazy_brain_games,0,0,0,1,,,,,,,,,,
21849,24648,Back on my bullshit streaming Brainlord https://www.twitch.tv/lazy_brain_games,0,0,0,0,,,,,,,,,,
22326,24985,Calls Grow for Arrest of Asshat Gloria Allred Over Forged Document – Including Accuser’s Stepson! http://www.thegatewaypundit.com/2017/11/calls-grow... #MAGA #PresidentTrump #Trump #DrainTheSwamp #News #SpeakFreely #GabFam,0,0,0,0,,,,,,,,,,
22327,24985,Calls Grow for Arrest of Asshat Gloria Allred Over Forged Document – Including Accuser’s Stepson! http://www.thegatewaypundit.com/2017/11/calls-grow... #MAGA #PresidentTrump #Trump #DrainTheSwamp #News #SpeakFreely #GabFam,0,0,0,1,,,,,,,,,,
22438,25147,"30 odd years ago when I worked retail,  we had a work birthday for a colleague. Someone had the bright idea for an erotic cake. A giant sheet cake with a pair of boobs. It was hilarious and quite tasty. Could you even do that nowadays?",0,0,0,0,,,,,,,,,,
22442,25147,"30 odd years ago when I worked retail,  we had a work birthday for a colleague. Someone had the bright idea for an erotic cake. A giant sheet cake with a pair of boobs. It was hilarious and quite tasty. Could you even do that nowadays?",0,0,0,1,,,,,,,,,,
22443,25148,"Dammit,  you all asked for this!  @OccamsEpilady  https://youtu.be/RVh179oXFao",0,0,0,1,,,,,,,,,,
22444,25148,"Dammit,  you all asked for this!  @OccamsEpilady  https://youtu.be/RVh179oXFao",0,0,0,0,,,,,,,,,,
22451,25150,"When my sister was little (7, maybe?) She asked for a Slim Whitman record for Christmas. Never got it, but we still give her crap about it now. She's 46.",0,0,0,1,,,,,,,,,,
22452,25150,"When my sister was little (7, maybe?) She asked for a Slim Whitman record for Christmas. Never got it, but we still give her crap about it now. She's 46.",0,0,0,0,,,,,,,,,,
22460,25153,"I get you. I recall the big brew-ha-ha over Burrito Gate when I first moved here and thought that was absurd. However, I wasn't surprised at the situation. Coming from Boston I was more than well aware of how this PC crap just takes over like Kudzu.",0,0,0,1,,,,,,,,,,
22461,25153,"I get you. I recall the big brew-ha-ha over Burrito Gate when I first moved here and thought that was absurd. However, I wasn't surprised at the situation. Coming from Boston I was more than well aware of how this PC crap just takes over like Kudzu.",0,0,0,0,,,,,,,,,,
22463,25154,This whole thing was a mess from the beginning. Half-assed wellness checks by SFPD (they can't enter the domicile to actually check); multiple requests by family & neighbors; finally did something when nasty odors starting wafting out. Evidence of heavy duty cleaning supplies being used.,0,0,0,1,,,,,,,,,,
22464,25154,This whole thing was a mess from the beginning. Half-assed wellness checks by SFPD (they can't enter the domicile to actually check); multiple requests by family & neighbors; finally did something when nasty odors starting wafting out. Evidence of heavy duty cleaning supplies being used.,0,0,0,0,,,,,,,,,,
22466,25155,It's crazy. I just don't get it. Here in self-centered SF the ratio is easily 10 - 1 iPhone to Android. And here's the thing: the display seems clunky and the cameras take crappy video/pics. Morons.,0,0,0,1,,,,,,,,,,
22467,25155,It's crazy. I just don't get it. Here in self-centered SF the ratio is easily 10 - 1 iPhone to Android. And here's the thing: the display seems clunky and the cameras take crappy video/pics. Morons.,0,0,0,0,,,,,,,,,,
22545,25219,"Got back on Twitter for a day, got multiple RT's and almost 300 followers from a single Tweet. They just killed my account. What's the fucking point anymore?",0,0,0,1,,,,,,,,,,
22546,25219,"Got back on Twitter for a day, got multiple RT's and almost 300 followers from a single Tweet. They just killed my account. What's the fucking point anymore?",0,0,0,0,,,,,,,,,,
22557,25231,@countdankula‍ Has just been convicted of being 'Grossly Offensive' under the Communications Act in #Scotlandhttps://youtu.be/7_MxAXaKzOU,0,0,0,1,,,,,,,,,,
22558,25231,@countdankula‍ Has just been convicted of being 'Grossly Offensive' under the Communications Act in #Scotlandhttps://youtu.be/7_MxAXaKzOU,0,0,0,0,,,,,,,,,,
22572,25238,You are dreaming. The place you are trying to save never existed. No need to fight to save that civilisation. Damn. #Lovecraft #Horror #Fiction https://www.counter-currents.com/2010/10/polaris/,0,0,0,1,,,,,,,,,,
22573,25238,You are dreaming. The place you are trying to save never existed. No need to fight to save that civilisation. Damn. #Lovecraft #Horror #Fiction https://www.counter-currents.com/2010/10/polaris/,0,0,0,0,,,,,,,,,,
22658,25272,#FuckCancer #RIP #Repeal,0,0,0,1,,,,,,,,,,
22659,25272,#FuckCancer #RIP #Repeal,0,0,0,0,,,,,,,,,,
22781,25331,"Sorry I've still been away #GabFam. Another bout of diverticulitis has been kicking the shit out of me - literally! - but I'm almost over it now. I spent some time getting put back together at the VA, and I think they had a couple of nuts and bolts left over. Hope you're all doing well and had an awesome #IndependenceDay!!",0,0,0,1,,,,,,,,,,
22782,25331,"Sorry I've still been away #GabFam. Another bout of diverticulitis has been kicking the shit out of me - literally! - but I'm almost over it now. I spent some time getting put back together at the VA, and I think they had a couple of nuts and bolts left over. Hope you're all doing well and had an awesome #IndependenceDay!!",0,0,0,0,,,,,,,,,,
22825,19397," Donald J. Trump‏Verified account @realDonaldTrump  What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!!  https://twitter.com/realDonaldTrump/status/947544600918372353",0,0,0,0,,,,,,,,,,
22826,19397," Donald J. Trump‏Verified account @realDonaldTrump  What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!!  https://twitter.com/realDonaldTrump/status/947544600918372353",0,0,0,1,,,,,,,,,,
22895,20451,Mohammed discovered that motorcycles go much faster than camels,0,0,0,0,,,,,,,,,,
22896,20451,Mohammed discovered that motorcycles go much faster than camels,0,0,0,1,,,,,,,,,,
22904,20784,"Bitch, I'm a whole apple.",0,0,0,0,,,,,,,,,,
22906,20784,"Bitch, I'm a whole apple.",0,0,0,1,,,,,,,,,,
22987,25850,MTV is now a liberal dick suck fest as well. ,0,0,0,1,,,,,,,,,,
23109,4367,Why is he concerned he let the fucking things in.,0,0,0,0,,,,,,,,,,
23112,4367,Why is he concerned he let the fucking things in.,0,0,0,1,,,,,,,,,,
23188,8616,"#GruntFreePress #Podcast Episode 129 is out:  http://www.gruntfreepress.com/ear-shit/  Topics - #Okami HD, Big Picture Mode, gibberish, wolf #Zelda, Zzzzzz, #Retropie version 2, heat sinks, partitions, ""Error 5"", SSH protocol, #RetroArch, cores, #RobocopVersusTerminator, #Chakan  #VideoGames #Gaming",0,0,0,0,,,,,,,,,,
23191,8616,"#GruntFreePress #Podcast Episode 129 is out:  http://www.gruntfreepress.com/ear-shit/  Topics - #Okami HD, Big Picture Mode, gibberish, wolf #Zelda, Zzzzzz, #Retropie version 2, heat sinks, partitions, ""Error 5"", SSH protocol, #RetroArch, cores, #RobocopVersusTerminator, #Chakan  #VideoGames #Gaming",0,0,0,1,,,,,,,,,,
23219,10518,Get the fuck out of my way cucks! Hahaha that’s my President! ,0,0,0,1,,,,,,,,,,
23221,10518,Get the fuck out of my way cucks! Hahaha that’s my President! ,0,0,0,0,,,,,,,,,,
23259,13581,"Lol yeah, wanting to live in a safe place where people dont get murdered and blown up is sooo hateful. I dare you to find one thing ive said that is even remotely hateful. im waiting :)",0,0,0,0,,,,,,,,,,
23261,13581,"Lol yeah, wanting to live in a safe place where people dont get murdered and blown up is sooo hateful. I dare you to find one thing ive said that is even remotely hateful. im waiting :)",0,0,0,1,,,,,,,,,,
23277,14822,"Infowars just posted a pic of an ISIS idiot in front of something in NY.  DeBlasio probably bought them airfare to get here, and the barriers will make him look like he gives a shit.  We know better.  Libtards don't.",0,0,0,0,,,,,,,,,,
23279,14822,"Infowars just posted a pic of an ISIS idiot in front of something in NY.  DeBlasio probably bought them airfare to get here, and the barriers will make him look like he gives a shit.  We know better.  Libtards don't.",0,0,0,1,,,,,,,,,,
23298,15621,"Listen up you fucking N.Y. Times > Mitt Romney cannot run for Senate Seat in Utah, because HE DOES NOT FUCKING LIVE THERE.  Mitt lives in MASSACHUSETTS.  How dense can you fucking people get? ",0,0,0,1,,,,,,,,,,
23338,17558,Its 100% bullshit. When establishment on both sides of the isle agree its always bad.,0,0,0,0,,,,,,,,,,
23340,17558,Its 100% bullshit. When establishment on both sides of the isle agree its always bad.,0,0,0,1,,,,,,,,,,
23344,18240,These crooked bastards are going to nail a couple staffers and let Hillary skate again. I guarantee you a Clinton representative has contacted EVERY Congressman  and reminded them of how things work in DC and what dirt they have on them. JUST WATCH........,0,0,0,0,,,,,,,,,,
23345,18240,These crooked bastards are going to nail a couple staffers and let Hillary skate again. I guarantee you a Clinton representative has contacted EVERY Congressman  and reminded them of how things work in DC and what dirt they have on them. JUST WATCH........,0,0,0,1,,,,,,,,,,
23376,20349,"I am pretty right of center, but I have a problem with Marxism/Collectivism in all of its forms. Some brown people are intellectuals, some can run a 4-minute mile. Some white people are thick as shit and morbidly obese. I'm an individualist, so please don't think this fuckwit speaks for me.",0,0,0,1,,,,,,,,,,
23377,20349,"I am pretty right of center, but I have a problem with Marxism/Collectivism in all of its forms. Some brown people are intellectuals, some can run a 4-minute mile. Some white people are thick as shit and morbidly obese. I'm an individualist, so please don't think this fuckwit speaks for me.",0,0,0,0,,,,,,,,,,
23519,549,She needs to be fuct by a box of 12 gauge tbh.,0,0,0,1,,,,,,,,,,
23520,549,She needs to be fuct by a box of 12 gauge tbh.,0,0,0,0,,,,,,,,,,
23529,1300,"HMMMM if only presidents can pass/push certain bills, or repeal past policies/bills... u colossal mongoloid ",0,0,0,1,,,,,,,,,,
23530,1300,"HMMMM if only presidents can pass/push certain bills, or repeal past policies/bills... u colossal mongoloid ",0,0,0,0,,,,,,,,,,
23583,6486,That is exactly what went through my head....Hill burning dead bodies 😱,0,0,0,1,,,,,,,,,,
